"ims_org_id","pred.y"
"INS00002135",1978611.44052441
"INS00002151",454381.994222962
"INS00002228",1208880.95666625
"INS00000899",430844.819015042
"INS00001097",2411468.47064082
"INS00002200",788396.070957063
"INS00002221",5446540.117715
"INS00000611",21164587.6491701
"INS00001116",10198161.4299946
"INS00002110",402224.598922627
"INS00108318",328229.575362579
"INS00122701",2267052.7253693
"INS00545089",329734.848521815
"INS00002116",329189.097677286
"INS00005832",6680795.09693188
"INS00002117",952977.112811167
"INS00002153",464109.730046998
"INS00002188",379734.218681143
"INS00002139",2786146.83453065
"INS00002204",936209.350408595
"INS00002235",2776261.65660197
"INS00006719",329418.525657799
"INS00002246",7876537.98279199
"INS00006150",327729.80037898
"INS00000971",705551.667069192
"INS00002140",650719.172266559
"INS00116449",349374.994863511
"INS00000522",6034913.31870019
"INS00002222",2050101.57176374
"INS00000992",719515.960560263
"INS00002112",612021.451196145
"INS00002136",5757703.85852131
"INS00107704",477654.814786874
"INS00002115",951170.559090218
"INS00002144",2236179.02366615
"INS00002209",1070729.35944503
"INS00001701",8423190.73857465
"INS00001702",325909.654376102
"INS00002233",8683756.76955725
"INS00002240",8912393.83370871
"INS00006768",3249195.35727113
"INS00578390",328060.472516554
"INS00000897",5794154.38041321
"INS00001846",515808.555132046
"INS00002141",490453.000785245
"INS00002182",468863.519508223
"INS00002208",913117.522459927
"INS00002218",800853.724767045
"INS00002236",6409518.2148611
"INS00002109",672753.900334665
"INS00002131",2277694.06480416
"INS00002133",550469.001718824
"INS00002137",420668.01811613
"INS00002149",412060.420559909
"INS00002150",472919.497657964
"INS00002167",4505594.93335834
"INS00002191",474891.374169749
"INS00000898",395842.831028527
"INS00006500",333932.880708959
"INS00005912",604208.100100004
"INS00006502",456229.604783299
"INS00006503",422704.870527202
"INS00000716",5922694.71147722
"INS00006501",3125997.6349998
"INS00000737",2592874.70921902
"INS00002125",530082.668258315
"INS00006528",1704488.00056389
"INS01173473",332306.263276218
"INS00002119",413002.945557872
"INS00004971",476142.480704614
"INS00001107",2792105.6712817
"INS00001109",7841036.48904408
"INS00001117",5715313.76344735
"INS00001642",11719209.2988399
"INS00002219",6301931.05827637
"INS00005114",4309199.85203429
"INS00005116",23381241.8852283
"INS00005120",327903.3642393
"INS00006769",4868470.83732831
"INS00005119",2297750.08942621
"INS00002138",1090180.03225146
"INS00002155",2639623.21585516
"INS00002159",1200253.93400375
"INS00002202",606129.287540795
"INS00002224",432770.484569834
"INS00004981",562594.652747012
"INS00006801",1495126.32944881
"INS00000744",6667780.41761568
"INS00006211",24033261.2042631
"INS00006212",4187369.20870545
"INS00006213",328261.916231942
"INS00006798",20123516.560235
"INS00609146",327872.224920326
"INS00002207",4424887.07359374
"INS00002250",1652843.96125896
"INS00005986",345339.232078498
"INS00103516",375981.684825513
"INS00001113",455438.245194343
"INS00002142",814442.494751936
"INS00002173",372359.688392451
"INS00002175",612440.175079042
"INS00002223",458521.570512632
"INS00002242",2731084.88170398
"INS00006766",331320.968043851
"INS00002114",5076095.86317744
"INS00002232",2330583.62471764
"INS00002448",3967039.27753678
"INS00002454",1640362.66693114
"INS00006096",4756596.24355888
"INS00006787",458500.91325236
"INS00006829",962357.534358727
"INS00117391",452258.812853196
"INS00642609",327679.649573751
"INS01088009",513299.895989918
"INS00002475",1319069.53717141
"INS00005865",459349.433868957
"INS00006582",2978299.94808283
"INS00006824",5508419.54174051
"INS00457152",462603.152458281
"INS00666500",2940247.70266896
"INS00001120",7039313.5644051
"INS00002390",329514.329404101
"INS00002392",7311784.01255345
"INS00002443",6241065.17833683
"INS00002480",5495159.26698047
"INS00006573",340885.572240755
